Month,Data_Science
2004-01,14
2004-02,8
2004-03,16
2004-04,11
2004-05,5
2004-06,8
2004-07,7
2004-08,9
2004-09,13
2004-10,11
2004-11,12
2004-12,10
2005-01,14
2005-02,10
2005-03,8
2005-04,8
2005-05,5
2005-06,7
2005-07,7
2005-08,8
2005-09,10
2005-10,6
2005-11,9
2005-12,7
2006-01,8
2006-02,7
2006-03,8
2006-04,9
2006-05,7
2006-06,5
2006-07,4
2006-08,7
2006-09,10
2006-10,6
2006-11,8
2006-12,7
2007-01,7
2007-02,8
2007-03,4
2007-04,6
2007-05,7
2007-06,6
2007-07,5
2007-08,6
2007-09,9
2007-10,8
2007-11,7
2007-12,5
2008-01,7
2008-02,7
2008-03,7
2008-04,8
2008-05,6
2008-06,4
2008-07,4
2008-08,5
2008-09,8
2008-10,7
2008-11,8
2008-12,6
2009-01,9
2009-02,9
2009-03,7
2009-04,7
2009-05,6
2009-06,5
2009-07,5
2009-08,5
2009-09,10
2009-10,8
2009-11,10
2009-12,7
2010-01,9
2010-02,9
2010-03,8
2010-04,7
2010-05,7
2010-06,4
2010-07,5
2010-08,6
2010-09,9
2010-10,9
2010-11,7
2010-12,6
2011-01,8
2011-02,8
2011-03,8
2011-04,8
2011-05,6
2011-06,5
2011-07,4
2011-08,7
2011-09,14
2011-10,8
2011-11,10
2011-12,9
2012-01,11
2012-02,9
2012-03,9
2012-04,8
2012-05,8
2012-06,7
2012-07,5
2012-08,11
2012-09,16
2012-10,12
2012-11,12
2012-12,10
2013-01,13
2013-02,13
2013-03,11
2013-04,13
2013-05,14
2013-06,10
2013-07,9
2013-08,15
2013-09,22
2013-10,19
2013-11,18
2013-12,16
2014-01,23
2014-02,21
2014-03,20
2014-04,19
2014-05,19
2014-06,18
2014-07,17
2014-08,27
2014-09,33
2014-10,28
2014-11,26
2014-12,24
2015-01,32
2015-02,29
2015-03,30
2015-04,32
2015-05,30
2015-06,27
2015-07,30
2015-08,38
2015-09,48
2015-10,41
2015-11,35
2015-12,35
2016-01,41
2016-02,39
2016-03,39
2016-04,40
2016-05,38
2016-06,36
2016-07,32
2016-08,43
2016-09,52
2016-10,47
2016-11,46
2016-12,42
2017-01,56
2017-02,55
2017-03,57
2017-04,59
2017-05,55
2017-06,51
2017-07,50
2017-08,61
2017-09,69
2017-10,68
2017-11,60
2017-12,53
2018-01,66
2018-02,69
2018-03,65
2018-04,67
2018-05,65
2018-06,60
2018-07,61
2018-08,73
2018-09,80
2018-10,78
2018-11,73
2018-12,63
2019-01,83
2019-02,80
2019-03,78
2019-04,80
2019-05,74
2019-06,73
2019-07,68
2019-08,86
2019-09,96
2019-10,90
2019-11,79
2019-12,72
2020-01,87
2020-02,89
2020-03,71
2020-04,76
2020-05,75
2020-06,78
2020-07,75
2020-08,86
2020-09,100
2020-10,78