Year,Sex,Hgt,Wgt,Haircut,GPA,Exercise,Sport,TV,Award,Pulse,SocialMedia
Sophomore,M,66,155,0,2.9,15,Yes,8,Olympic,72,Snapchat
FirstYear,F,69,170,17,3.87,14,Yes,12,Olympic,51,Instagram
FirstYear,F,64,130,40,3.3,5,No,5,Olympic,68,Instagram
FirstYear,M,68,157,35,3.21,10,Yes,15,Olympic,54,Snapchat
FirstYear,M,72,175,20,3.1,2,No,5,Nobel,NA,Instagram
Junior,F,62,150,50,3.3,8,Yes,5,Olympic,86,Instagram
FirstYear,M,70,121,12,3.9,3,Yes,20,Nobel,88,Instagram
FirstYear,M,71,180,20,3.84,7,No,15,Nobel,100,Instagram
FirstYear,M,72,165,10,3.25,3,No,30,Nobel,62,Snapchat
FirstYear,F,66,150,40,3.75,3,NA,6,Nobel,84,Snapchat
FirstYear,F,68,152,30,3.4,10,Yes,5,Olympic,86,Snapchat
FirstYear,M,70,172,35,3.31,11,Yes,4,Olympic,65,Snapchat
Sophomore,F,61,142,60,3.2,5,No,10,Olympic,62,Instagram
FirstYear,M,70,165,20,3,10,Yes,4,Olympic,46,Instagram
FirstYear,F,64,125,40,3.6,10,Yes,2,Nobel,56,Instagram
FirstYear,F,68,147,40,3.5,14,Yes,7,Olympic,80,Snapchat
FirstYear,F,61,130,73,3.26,7,Yes,8,Nobel,62,Snapchat
FirstYear,F,66,125,125,3.42,5,No,2,Olympic,67,Snapchat
Junior,F,69,157,20,3.2,5,No,10,Nobel,96,Snapchat
Sophomore,M,71,174,15,3.29,12,Yes,12,Nobel,63,Instagram
FirstYear,F,54,125,60,3.65,7,No,12,Nobel,75,Snapchat
FirstYear,M,70,175,10,3.9,15,Yes,4,Olympic,64,Snapchat
FirstYear,M,72,187,15,3.45,6,No,2,Olympic,73,Snapchat
FirstYear,M,72,247,25,3,7,Yes,5,Olympic,70,Instagram
FirstYear,F,65,147,5,3.3,4,No,2,Academy,NA,Other
FirstYear,M,70,150,25,3.7,2,No,6,Nobel,60,Snapchat
FirstYear,F,63,130,0,3.8,7,Yes,3,Olympic,82,Snapchat
Junior,M,74,155,25,3.3,2,No,5,Nobel,58,Instagram
FirstYear,M,77,220,20,2.8,5,No,14,Olympic,68,Snapchat
Sophomore,M,68,165,0,3.2,17,Yes,5,Olympic,58,Instagram
FirstYear,F,66,150,150,2.5,5,No,14,Nobel,80,Snapchat
FirstYear,F,61,110,NA,3.83,4,No,10,Nobel,68,Snapchat
FirstYear,F,68,155,80,3.3,4,No,12,Olympic,84,Snapchat
Sophomore,M,69,150,20,3.4,7.5,No,4,Nobel,70,Snapchat
Sophomore,M,73,220,21,2.9,8,Yes,6,Olympic,72,Instagram
FirstYear,M,NA,140,35,3,14,Yes,10,Academy,86,Instagram
FirstYear,F,54,135,25,2.8,10,Yes,10,Nobel,112,Snapchat
FirstYear,F,51,104,60,3.3,4,No,5,Olympic,74,Snapchat
Sophomore,M,70,170,20,2.9,2,No,10,Academy,48,Snapchat
FirstYear,F,65,250,20,3.5,5,No,10,Nobel,92,Snapchat
Sophomore,M,71,188,30,2.68,10,Yes,14,Nobel,62,Other
FirstYear,M,70,134,20,3.5,16,Yes,4,Olympic,NA,Snapchat
FirstYear,F,68,125,45,3.75,4,No,6,Nobel,72,Instagram
Sophomore,M,74,185,15,2.62,14,Yes,15,Academy,74,Instagram
FirstYear,F,65,120,16,3.64,10,Yes,5,Nobel,82,Snapchat
FirstYear,M,69,165,25,3.4,12,Yes,4,Olympic,62,Instagram
FirstYear,F,67,120,25,3.94,4,No,4,Olympic,96,Snapchat
FirstYear,NA,65,128,20,3.06,6,No,8,Olympic,74,Snapchat
FirstYear,F,70,165,120,2.8,7,Yes,14,Olympic,70,Snapchat
FirstYear,F,68,160,200,3.8,30,Yes,10,Olympic,80,Instagram
FirstYear,F,56,121,50,2.5,7,No,7,Academy,86,Instagram
Sophomore,M,70,135,3,2.2,12,Yes,10,Academy,70,Snapchat
FirstYear,F,65,139,80,3.75,2,No,3,Nobel,107,Snapchat
Senior,M,71,170,25,3.86,3,No,3,Nobel,82,Instagram
FirstYear,M,70,180,13,3.6,15,No,15,Olympic,70,Snapchat
Sophomore,M,71,155,35,3.3,3,No,4,Nobel,70,Instagram
Sophomore,M,70,NA,30,2.8,6,No,7,Olympic,108,Instagram
Junior,M,68,140,16,NA,10,No,21,Olympic,46,Other
Sophomore,F,67,155,60,2.9,2,No,5,Nobel,88,Instagram
FirstYear,M,69,150,15,2.5,5,No,21,Olympic,96,Snapchat
Sophomore,F,54,167,55,3.5,4,No,24,Nobel,96,Instagram
Senior,M,68,155,20,3.4,16,Yes,1,Olympic,58,Instagram
Sophomore,M,69,150,20,3.2,5,No,5,Nobel,86,Instagram
FirstYear,F,62,118,0,3.53,2,NA,7,Olympic,80,Snapchat
FirstYear,M,74,185,20,3.66,15,NA,30,Olympic,88,Instagram
FirstYear,M,72,175,15,3.95,10,Yes,5,Nobel,95,Instagram
FirstYear,M,71,230,15,3.6,4,No,10,Academy,72,Instagram
FirstYear,F,62,118,75,3.4,7,No,6,Nobel,96,Snapchat
FirstYear,F,68,NA,0,NA,7,No,NA,Nobel,NA,Twitter
FirstYear,F,60,113,70,3.8,3,No,8,Olympic,60,Instagram
FirstYear,M,72,235,16,3.24,8,Yes,10,Nobel,108,Snapchat
FirstYear,F,68,156,30,3.22,2,No,14,Olympic,86,Snapchat
FirstYear,M,71,190,22,3.1,20,Yes,25,Olympic,60,Snapchat
Sophomore,M,70,184,28,2.5,6,Yes,20,Olympic,58,Instagram
FirstYear,M,NA,155,7,NA,NA,No,20,Nobel,34,Facebook
FirstYear,M,NA,NA,30,NA,NA,No,10,NA,64,Other
Sophomore,M,69,165,12,3,4,Yes,28,Olympic,90,Instagram
Sophomore,M,72,185,35,3,6,No,20,Olympic,62,Snapchat
FirstYear,M,77,190,20,3,13,Yes,10,Olympic,47,Twitter
Sophomore,F,64,145,30,3.03,4,Yes,1,Academy,56,Instagram
Junior,F,66,175,65,3.2,15,Yes,5,Olympic,72,Snapchat
Sophomore,F,65,123,330,NA,0,No,4,Nobel,NA,Instagram
Junior,F,69,145,200,3.78,12,Yes,5,Academy,54,Snapchat
FirstYear,F,61,115,0,3.2,10,Yes,5,Olympic,63,Instagram
FirstYear,F,66,150,25,3.8,12,Yes,2,Olympic,52,Instagram
FirstYear,M,70,167,25,1.5,9,Yes,5,Nobel,68,Snapchat
FirstYear,F,64,127,0,3.36,4,No,20,Nobel,70,Snapchat
FirstYear,M,71,146,30,1.8,8,No,20,Olympic,82,Instagram
Sophomore,F,65,130,130,3.6,13,No,4,Olympic,29,Snapchat
FirstYear,F,64,130,25,3.6,5,No,15,Academy,68,Snapchat
FirstYear,F,65,155,30,3.25,5,No,4,Nobel,74,Instagram
FirstYear,M,71,168,20,3.58,7.5,No,4,Nobel,69,Instagram
FirstYear,M,71,NA,15,3.8,3,No,15,Nobel,73,Snapchat
FirstYear,M,67,175,28,3.43,12,Yes,6,Academy,56,Instagram
Junior,M,72,175,25,3.01,3,No,6,Nobel,78,Facebook
Senior,M,74,160,10,3.2,6,No,10,Nobel,81,Instagram
Sophomore,M,72,160,70,3,30,Yes,4,Nobel,57,Instagram
FirstYear,F,65,155,30,3.11,10,Yes,6,Nobel,72,Snapchat
FirstYear,M,65,163,20,3.89,7,No,14,Nobel,70,Instagram
FirstYear,M,68,160,50,2.8,2,No,12,Olympic,81,Instagram
FirstYear,M,75,175,20,3.3,15,Yes,5,Olympic,65,Instagram
FirstYear,M,72,194,24,3.7,14,Yes,3,Nobel,65,Instagram
FirstYear,M,72,185,10,3.4,10,Yes,20,Olympic,72,Instagram
FirstYear,M,72,195,23,3.4,10,Yes,10,Nobel,74,Twitter
FirstYear,M,70,155,10,3.75,15,Yes,15,Olympic,38,Instagram
FirstYear,F,64,132,20,3.35,2,No,10,Nobel,97,Instagram
FirstYear,F,66,150,130,3.3,6,No,10,Nobel,43,Instagram
Sophomore,M,71,165,20,3.58,2,No,10,Olympic,70,Snapchat
FirstYear,M,71,185,23,3,17,Yes,5,Nobel,68,Twitter
FirstYear,F,69,155,50,3.3,7,Yes,15,Olympic,73,Snapchat
Sophomore,M,68,158,30,3.3,5,Yes,8,Nobel,63,Instagram
FirstYear,F,65,125,20,3.06,2,Yes,3,Olympic,68,Snapchat
FirstYear,M,NA,NA,12,NA,NA,No,5,Nobel,NA,Other
FirstYear,F,64,131,130,3.1,6,No,3,Academy,65,Instagram
Senior,F,69,160,60,3.5,2,No,8,Nobel,80,Snapchat
Sophomore,M,71,170,15,3.6,16,Yes,8,Olympic,60,Instagram
Sophomore,F,66,135,100,3.25,14,Yes,7,Olympic,NA,Snapchat
FirstYear,M,72,160,20,3.08,4,No,0,Olympic,84,Instagram
FirstYear,F,64,130,NA,3.3,5,Yes,8,Olympic,78,Snapchat
Sophomore,F,69,140,50,3,1,No,8,Academy,79,Instagram
Sophomore,F,64,131,20,3.7,13,Yes,2,Olympic,78,Instagram
FirstYear,F,64,125,30,3.2,14,Yes,3,Olympic,60,Snapchat
Senior,M,71,170,12,3.5,3,No,0,Olympic,82,Instagram
Sophomore,F,67,145,17,3.3,16,Yes,12,Olympic,68,Instagram
Junior,F,70,170,20,3.4,20,Yes,30,Olympic,67,Facebook
Sophomore,M,74,210,50,3.81,30,Yes,20,Olympic,80,Instagram
Sophomore,F,64,185,0,3.3,1,No,5,Nobel,66,Facebook
Sophomore,F,67,140,30,3.04,15,Yes,4,Nobel,72,Snapchat
Sophomore,M,75,200,30,3.4,35,Yes,10,Olympic,54,Snapchat
FirstYear,M,73,180,25,3.4,7,No,12,Olympic,64,Instagram
Sophomore,F,64,130,70,3.2,2.5,Yes,15,Nobel,94,Snapchat
FirstYear,F,NA,125,38,2.8,4,Yes,5,Olympic,55,Snapchat
Sophomore,M,80,245,20,3.32,35,Yes,14,Olympic,56,Instagram
FirstYear,M,69,173,25,3.17,8,Yes,5,Academy,69,Twitter
FirstYear,F,61,130,20,3.83,5,No,5,Nobel,74,Snapchat
Sophomore,F,64,130,40,3.7,6,Yes,4,Nobel,89,Snapchat
FirstYear,M,70,182,35,3.5,10,Yes,17,Olympic,NA,Instagram
Sophomore,M,67,191,17,2.8,15,Yes,7,Olympic,75,Snapchat
FirstYear,M,71,170,30,3.75,25,Yes,14,Nobel,80,Instagram
Senior,M,70,160,15,3.78,3,No,6,Nobel,70,Snapchat
Sophomore,F,67,150,0,3.5,3,No,1,Olympic,70,Instagram
Sophomore,M,65,135,14,3.3,4,No,3,Academy,84,Snapchat
FirstYear,M,72,180,35,3.75,8,No,3,Olympic,63,Instagram
FirstYear,F,63,110,27,3.67,0,No,21,Academy,96,Snapchat
FirstYear,F,64,150,35,3.9,2,No,10,Olympic,70,Instagram
Sophomore,F,66,140,10,3.39,10,Yes,5,Olympic,65,Snapchat
FirstYear,F,62,140,65,3.5,18,Yes,3,Olympic,70,Snapchat
Sophomore,F,62,144,3,3,5,No,5,Nobel,72,Snapchat
Senior,M,72,135,20,3.3,9,No,20,Nobel,80,Instagram
FirstYear,M,73,180,25,3.5,10,Yes,9,Olympic,64,Snapchat
Junior,M,73,170,0,3.5,0,No,4,Nobel,56,Facebook
FirstYear,M,67,166,12,3,8,Yes,3,Academy,75,Snapchat
FirstYear,M,70,147,26,2.7,18,Yes,0.5,Olympic,78,Snapchat
FirstYear,M,71,145,20,2.9,8,Yes,14,Olympic,106,Snapchat
Sophomore,M,69,160,12,3,8,Yes,10,Olympic,60,Facebook
FirstYear,F,61,124,20,3,0,No,5,Nobel,93,Other
Sophomore,F,63,110,45,3.32,5,No,5,Academy,64,Other
Sophomore,F,63,125,20,3.3,0,No,4,Nobel,72,Instagram
Sophomore,F,69,140,120,3.48,3,No,4,Nobel,75,Snapchat
Sophomore,M,77,183,35,NA,8,No,10,Olympic,65,Instagram
Sophomore,M,72,170,30,3.4,15,Yes,12,Nobel,72,Snapchat
Senior,F,60,125,0,3.72,12,No,10,Olympic,60,Instagram
FirstYear,M,77,210,30,3.6,5,Yes,4,Nobel,62,Instagram
Sophomore,M,69,144,18,3.4,6,No,6,Olympic,80,Instagram
FirstYear,M,72,150,35,3.93,8,No,5,Olympic,60,Snapchat
FirstYear,F,66,150,150,3.8,2,No,2,Academy,78,Snapchat
FirstYear,F,66,150,30,3.44,7,No,10,Nobel,90,Snapchat
FirstYear,F,68,143,325,NA,8,No,7,NA,63,Instagram
Sophomore,M,73,170,50,3.6,2,No,5,Nobel,78,Snapchat
FirstYear,M,71,170,10,3.4,3,No,15,Olympic,NA,Snapchat
FirstYear,F,65,150,65,3.44,5,No,10,Olympic,75,Instagram
Sophomore,F,65,145,30,3.46,0,No,20,Nobel,36,Instagram
FirstYear,F,64,118,190,2.5,2,No,5,Nobel,66,Snapchat
FirstYear,F,64,156,60,3.89,6,Yes,10,Nobel,62,Snapchat
Junior,M,72,184,21,3.82,4.5,No,3,Nobel,65,Snapchat
FirstYear,M,71,200,0,3.4,10,Yes,5,Olympic,70,Snapchat
FirstYear,F,61,147,0,2.7,4,No,18,Nobel,65,Instagram
FirstYear,M,72,150,20,2.9,6,No,4,Nobel,68,Instagram
FirstYear,F,68,150,75,3.44,3,No,10,Nobel,72,Snapchat
FirstYear,M,75,173,20,3.25,10,Yes,4,Olympic,65,Snapchat
FirstYear,M,77,140,25,3.1,2,No,15,Nobel,100,Instagram
FirstYear,F,NA,100,35,3.5,5,No,10,Academy,NA,Snapchat
FirstYear,F,64,116,80,3.3,3,Yes,5,Nobel,92,Instagram
FirstYear,M,67,165,6,3.5,1,No,15,Nobel,75,Facebook
FirstYear,F,66,155,80,3,5,No,8,Olympic,78,Snapchat
FirstYear,F,68,137,0,3,10,Yes,4,Olympic,79,Snapchat
FirstYear,F,59,135,80,NA,18,Yes,6,Nobel,NA,Instagram
FirstYear,M,71,175,15,3,7,Yes,7,Olympic,56,Snapchat
FirstYear,F,63,115,50,3.66,2,No,15,Nobel,NA,Snapchat
Sophomore,F,62,140,0,3.36,2,No,7,Nobel,85,Instagram
Sophomore,M,71,150,40,3.01,4,No,6,Olympic,75,Instagram
Sophomore,F,68,190,20,3.34,10,Yes,3,Nobel,80,Instagram
Sophomore,F,64,120,20,3.55,0,No,2,Nobel,66,Instagram
Sophomore,M,72,180,18,3.5,10,No,10,Nobel,72,Instagram
Sophomore,F,63,130,20,3,0,No,10,Nobel,195,Instagram
Sophomore,M,72,176,20,3.1,6,No,12,Nobel,160,Instagram
