Year,Sex,Hgt,Wgt,Haircut,GPA,Exercise,Sport,TV,Award,Pulse,SocialMedia
Sophomore,M,74,275,25,2.8,5,Yes,20,Olympic,76,Twitter
FirstYear,F,54,142,35,3.12,4,No,5,Olympic,NA,Snapchat
FirstYear,F,64,135,60,2.92,0,No,7,Nobel,NA,Snapchat
Sophomore,M,70,176,18,3.6,7,No,4,Olympic,80,Instagram
Junior,M,74,161,25,2.5,12,Yes,8,Academy,70,Instagram
FirstYear,F,66,180,140,NA,7,No,7,Academy,100,Snapchat
FirstYear,F,64,170,NA,NA,10,No,14,Nobel,75,None
FirstYear,F,63,120,130,NA,1,No,2,Nobel,71,Instagram
Sophomore,F,60,NA,16,NA,6,No,5,Nobel,60,Snapchat
Sophomore,F,62,109,50,3.5,10,No,30,Nobel,79,Instagram
Junior,M,69,170,15,NA,15,Yes,5,Olympic,60,Instagram
Junior,F,68,156,40,3.64,15,Yes,5,Olympic,70,Snapchat
Sophomore,F,65,180,40,3.1,5,No,2,Nobel,65,Instagram
Sophomore,M,67,160,17,2.5,14,Yes,30,Olympic,60,Twitter
FirstYear,F,64,130,50,NA,5,No,3,Olympic,60,Instagram
Junior,M,69,175,20,2.9,4,Yes,7,Olympic,52,Instagram
Senior,M,74,220,0,3.3,12,Yes,5,Olympic,120,Snapchat
Junior,M,67,160,20,3.4,10,Yes,8,Olympic,60,Snapchat
Sophomore,F,65,120,35,3.58,4,No,5,Nobel,64,Instagram
FirstYear,F,64,135,25,NA,7,No,5,Nobel,72,Snapchat
FirstYear,M,66,110,19,NA,7,No,5,Olympic,71,Snapchat
Sophomore,F,69,140,0,3.6,12,Yes,0,Olympic,98,Instagram
FirstYear,F,NA,100,15,NA,5,No,0,Academy,60,Instagram
Sophomore,M,72,173,35,3.22,5,No,4,Olympic,52,Instagram
Sophomore,F,63,120,50,3,14,No,20,Olympic,65,Other
Sophomore,F,64,113,30,3.3,12,Yes,12,Nobel,75,Snapchat
Junior,F,62,100,52,3.7,7,No,12,Olympic,103,Snapchat
Sophomore,F,66,105,80,4,7,No,7,Academy,75,Instagram
Sophomore,F,70,150,40,3.7,22,Yes,5,Olympic,50,Instagram
FirstYear,M,NA,NA,20,NA,5,No,4,Academy,110,Facebook
FirstYear,F,74,155,50,NA,11,Yes,10,Olympic,NA,Snapchat
Sophomore,M,67,148,25,3.7,12,No,2,Nobel,67,Facebook
Sophomore,M,74,158,17,NA,14,Yes,6,Nobel,52,Instagram
FirstYear,F,64,155,32,NA,3,No,4,Nobel,80,Instagram
FirstYear,F,64,125,45,NA,18,Yes,6,Olympic,70,Snapchat
FirstYear,M,66,148,15,NA,10,Yes,15,Olympic,62,Twitter
Sophomore,M,71,153,15,2.92,15,Yes,12,Olympic,66,Snapchat
FirstYear,F,70,123,NA,NA,6,Yes,15,Nobel,NA,Instagram
Sophomore,F,59,115,0,3.6,2,No,10,Nobel,62,Facebook
FirstYear,F,62,125,60,NA,5,Yes,10,Olympic,82,Instagram
Sophomore,F,64,140,40,3.9,20,No,5,Academy,72,Instagram
Sophomore,F,67,NA,200,3.2,17,Yes,10,Olympic,52,Instagram
Sophomore,M,73,215,22,3.33,6,No,12,Nobel,80,Twitter
Sophomore,F,67,135,18,3.3,13,Yes,4,Nobel,58,Twitter
Sophomore,F,62,130,NA,3.5,5,No,5,Nobel,62,Instagram
Sophomore,F,64,150,80,2.7,1,Yes,5,Olympic,50,Snapchat
Sophomore,F,65,150,30,NA,4,No,4,Nobel,84,Snapchat
Sophomore,F,65,130,0,NA,0,No,20,Academy,68,None
Sophomore,M,75,200,7,3.3,5,No,2,Nobel,60,Twitter
FirstYear,F,66,118,55,NA,6,Yes,6,Olympic,60,Snapchat
Sophomore,F,65,190,75,2.5,14,Yes,28,Nobel,74,Snapchat
FirstYear,M,73,175,25,NA,20,Yes,2,Olympic,70,Twitter
Sophomore,F,64,170,15,NA,5,No,14,Academy,60,Instagram
FirstYear,M,66,125,NA,NA,30,Yes,25,Olympic,84,Instagram
FirstYear,F,63,107,NA,NA,10,Yes,NA,Olympic,68,Snapchat
Sophomore,M,72,155,12,3.52,3,No,6,Nobel,59,Instagram
Sophomore,M,74,190,20,3,8,No,10,Olympic,48,Instagram
FirstYear,M,71,165,15,NA,NA,Yes,12,Olympic,86,Instagram
Sophomore,F,65,117,35,3.94,4,No,5,Nobel,72,Snapchat
Sophomore,F,73,167,53,2.47,2,No,10,Olympic,77,Snapchat
Sophomore,F,68,130,100,3.4,NA,No,8,Academy,64,Instagram
FirstYear,M,70,200,35,NA,15,Yes,7,Olympic,83,Snapchat
Sophomore,M,71,185,35,3,7,Yes,6,Olympic,70,Instagram
FirstYear,M,72,170,20,NA,10,Yes,6,Olympic,82,Instagram
FirstYear,M,69,175,13,NA,18,Yes,10,Olympic,74,Twitter
FirstYear,F,66,145,16,NA,5,No,10,Olympic,78,Snapchat
FirstYear,M,71,165,20,NA,12,Yes,5,Olympic,59,Snapchat
Senior,M,70,160,2,3.2,12,No,5,Nobel,64,Other
FirstYear,M,74,155,22,NA,8,No,2,Olympic,84,Instagram
Sophomore,F,67,145,80,3.8,16,Yes,15,Olympic,73,Instagram
Junior,F,67,160,0,3.67,7,No,10,Nobel,69,Snapchat
Sophomore,M,69,174,0,3.4,16,Yes,10,Olympic,78,Instagram
Sophomore,M,69,180,35,2.9,10,No,4,Nobel,75,Instagram
Sophomore,F,66,130,60,3.4,10,Yes,2,Nobel,61,Snapchat
FirstYear,F,70,135,120,NA,10,Yes,5,Academy,92,Snapchat
Sophomore,F,68,145,60,3.64,6,No,6,Academy,61,Instagram
Sophomore,F,62,134,35,3.7,9,No,7,Olympic,52,Instagram
Sophomore,F,70,160,70,3.3,10,Yes,7,Olympic,67,Snapchat
Sophomore,F,66,145,300,3.7,10,Yes,2,Olympic,65,Instagram
Sophomore,F,66,145,300,3.7,10,Yes,2,Olympic,65,Instagram
Sophomore,M,67,150,5,3,2,No,10,Nobel,82,Other
FirstYear,M,75,210,22,NA,15,Yes,10,Olympic,56,Instagram
Sophomore,F,62,135,165,3.2,5,Yes,6,Olympic,68,Snapchat
Sophomore,M,71,225,33,2.3,3,No,14,Nobel,61,Instagram
Sophomore,M,70,136,105,3.5,5,No,8,Nobel,55,Other
FirstYear,M,71,170,30,NA,14,Yes,2,Nobel,80,Snapchat
Junior,M,72,160,54,2,21,Yes,11,Olympic,50,Facebook
Sophomore,F,64,125,130,3.2,7,No,21,Nobel,50,Instagram
Sophomore,F,62,148,15,3.6,3,No,1,Nobel,56,Snapchat
Sophomore,F,64,107,135,3,1,No,2,Nobel,80,Snapchat
Sophomore,F,64,130,80,3.75,7,Yes,7,Nobel,57,Snapchat
Senior,F,67,180,100,3.3,15,Yes,6,Olympic,68,Instagram
Sophomore,F,63,115,150,2.3,5,No,14,Academy,65,Other
Sophomore,M,71,159,30,3.2,7,No,3,Nobel,76,Snapchat
Junior,F,66,135,85,3.3,7,No,7,Olympic,74,Instagram
Sophomore,F,62,130,20,3,4,Yes,20,Academy,61,Snapchat
Junior,F,67,150,20,NA,5,No,7,Nobel,70,Instagram
Sophomore,M,67,145,12,3.7,2,No,5,Nobel,84,Twitter
FirstYear,F,65,120,80,NA,18,Yes,9,Olympic,NA,Snapchat
Sophomore,M,72,185,30,2.8,15,Yes,8,Olympic,65,Instagram
Sophomore,M,74,205,48,3.3,16,Yes,10,Nobel,80,Snapchat
Senior,M,75,190,0,3.4,18,Yes,10,Olympic,50,Instagram
Sophomore,M,72,180,20,3.85,8,No,10,Nobel,66,Instagram
Sophomore,M,69,180,30,3,7,Yes,10,Olympic,83,Snapchat
Sophomore,F,55,140,65,3,12,Yes,4,Olympic,110,Instagram
Sophomore,M,70,175,25,3.15,16,Yes,6,Olympic,80,Snapchat
Sophomore,M,70,170,30,3.2,3,No,5,Olympic,60,Instagram
Sophomore,M,69,182,38,3.25,5,No,10,Olympic,64,Instagram
Sophomore,F,64,130,50,3.4,4,Yes,5,Olympic,60,Instagram
Sophomore,F,66,NA,20,3.5,12,Yes,2,Academy,NA,Snapchat
Sophomore,M,69,150,20,3.43,30,No,7,Nobel,54,None
Sophomore,F,66,105,90,3.6,3,No,10,Nobel,70,Instagram
FirstYear,M,71,185,31,NA,10,Yes,15,Olympic,60,Instagram
Sophomore,F,66,145,0,3.7,10,Yes,2,Nobel,55,Other
Sophomore,F,67,130,30,2.5,9,Yes,4,Olympic,84,Snapchat
Sophomore,F,68,145,35,3.7,10,Yes,5,Olympic,91,Snapchat
FirstYear,F,64,125,20,NA,4,No,5,Nobel,NA,Snapchat
Sophomore,M,71,164,10,3,20,Yes,10,Olympic,60,Snapchat
FirstYear,F,62,125,10,NA,14,Yes,6,Olympic,42,Instagram
FirstYear,M,71,160,12,NA,16,Yes,5,Olympic,36,Snapchat
Junior,F,67,190,85,2.8,2,No,10,Academy,85,Snapchat
FirstYear,F,66,145,60,NA,10,No,8,Olympic,67,Snapchat
FirstYear,F,66,170,30,NA,15,Yes,8,Olympic,71,Snapchat
Sophomore,F,61,120,40,3.7,10,No,4,Olympic,75,Snapchat
Sophomore,F,56,109,250,3.7,2,No,12,Academy,76,Instagram
Sophomore,F,66,125,55,3.7,10,Yes,5,Nobel,NA,Instagram
Junior,M,72,185,7,3.94,10,No,15,Olympic,64,Instagram
Sophomore,M,72,180,20,3.33,4,No,10,Nobel,70,Instagram
Sophomore,M,71,160,18,3.7,15,No,5,Olympic,65,Instagram
Sophomore,M,72,200,20,3.35,24,Yes,16,Nobel,60,Twitter
Sophomore,M,69,270,20,3.25,15,Yes,13,Nobel,NA,Twitter
FirstYear,M,69,185,10,NA,20,Yes,20,Nobel,NA,Instagram
FirstYear,F,71,140,110,NA,5,NA,4,Academy,45,Facebook
FirstYear,F,63,135,70,NA,12,Yes,5,Olympic,79,Snapchat
Sophomore,F,62,120,200,3,30,Yes,10,Olympic,60,Snapchat
Sophomore,F,66,150,0,3.5,2,No,6,Nobel,NA,Snapchat
Sophomore,F,62,110,120,NA,14,Yes,3,Olympic,NA,Instagram
Sophomore,F,55,130,100,3.4,2,No,3,Academy,83,Instagram
FirstYear,M,74,162,14,NA,12,Yes,7,Olympic,62,Snapchat
Junior,F,68,145,140,3,4,No,4,Nobel,68,Snapchat
Junior,M,69,154,15,2.95,20,No,3,Olympic,75,Snapchat
Sophomore,F,63,120,80,3.67,20,Yes,3,Olympic,80,Instagram
FirstYear,M,68,140,22,NA,10,Yes,10,Olympic,70,Snapchat
FirstYear,F,65,115,65,3.3,10,Yes,4,Olympic,70,Snapchat
Junior,F,70,230,10,3.55,5,No,7,Nobel,68,Snapchat
Sophomore,F,64,140,35,3.78,7,No,5,Nobel,76,Instagram
Junior,M,75,185,25,3.7,15,Yes,6,Nobel,58,Instagram
Junior,F,69,142,0,3.24,15,Yes,2,Nobel,54,Other
Junior,M,71,180,20,3.7,10,No,10,Nobel,70,Snapchat
Junior,M,72,150,20,3,5,No,10,Nobel,70,Instagram
Junior,M,67,170,0,2.75,12,Yes,7,Olympic,78,Snapchat
Sophomore,F,65,145,30,3.2,2,No,8,Nobel,92,Instagram
Junior,F,60,115,20,NA,2,NA,3,NA,68,Instagram
Sophomore,M,70,155,17,3.1,8,No,15,Olympic,54,Other
Sophomore,F,66,120,35,3.3,3,No,4,Olympic,52,Snapchat
Sophomore,F,64,136,15,3.4,7,No,3,Nobel,100,Twitter
Junior,M,73,226,30,3,12,Yes,6,Nobel,60,Snapchat
Sophomore,F,68,185,45,3.6,2,No,8,Nobel,47,Snapchat
Sophomore,F,66,130,128,3,6,No,10,Academy,NA,Instagram
Sophomore,F,67,175,70,3.6,12,Yes,2,Olympic,56,Instagram
Sophomore,M,73,185,20,3,8,No,10,Olympic,59,Snapchat
Sophomore,F,66,173,35,2.94,6,No,7,Nobel,72,Instagram
Sophomore,F,62,130,40,3.2,12,Yes,12,Nobel,NA,Other
Sophomore,M,76,208,17,2.7,30,Yes,20,Olympic,62,Instagram
Sophomore,F,64,110,40,3.1,10,Yes,8,Olympic,65,Snapchat
Sophomore,F,67,150,0,3,0,No,10,Academy,65,Snapchat
Sophomore,M,76,250,10,3.6,4,No,5,Nobel,50,Instagram
Sophomore,F,62,102,0,3.15,5,No,4,Olympic,65,Instagram
Sophomore,F,65,NA,150,3.4,5,No,6,Nobel,78,Snapchat
Sophomore,F,64,150,25,3,7,No,4,Olympic,NA,Snapchat
Sophomore,F,66,115,150,3.5,2,No,2,Nobel,87,Instagram
Sophomore,F,63,129,25,3.17,5,Yes,12,Olympic,35,Snapchat
Sophomore,F,64,130,30,3.2,5,No,2,Academy,120,Instagram
Sophomore,F,66,160,5,3,0,No,NA,Nobel,NA,Instagram
Sophomore,F,67,185,0,3.2,2,No,2,Olympic,78,Instagram
FirstYear,M,74,253,35,NA,21,Yes,10,Olympic,60,Snapchat
Sophomore,F,63,130,25,3.7,2,No,4,Nobel,62,Snapchat
Sophomore,M,79,200,40,2.98,15,Yes,4,Olympic,41,Snapchat
Junior,M,74,180,30,3.5,NA,No,NA,Nobel,60,Twitter
FirstYear,M,68,160,25,NA,7,No,14,Nobel,NA,Snapchat
FirstYear,M,72,200,35,NA,3,Yes,12,Olympic,NA,Snapchat
FirstYear,M,69,160,18,NA,21,Yes,14,Olympic,130,Instagram
Sophomore,M,70,265,25,2.5,NA,No,NA,Olympic,80,Snapchat
Sophomore,F,64,135,90,3.4,5,No,15,Olympic,70,Instagram
Sophomore,M,72,165,20,3.21,7,No,9,Nobel,74,Snapchat
Sophomore,M,73,NA,20,3.15,7,No,5,Nobel,NA,Instagram
Sophomore,F,67,140,60,3.3,14,Yes,14,Olympic,70,Instagram
Senior,M,74,177,24,3.94,12,Yes,12,Nobel,48,Snapchat
Sophomore,M,69,158,0,3.13,18,Yes,10,Nobel,NA,Instagram
FirstYear,F,68,124,30,NA,5,No,5,Academy,100,Instagram
Sophomore,F,63,145,0,3.01,3,No,0,Nobel,57,Snapchat
FirstYear,F,68,150,NA,NA,10,Yes,7,Olympic,130,Snapchat
Sophomore,M,71,240,0,3,10,Yes,50,Nobel,90,Twitter
FirstYear,M,70,165,25,NA,15,Yes,5,Olympic,66,Snapchat
Sophomore,F,66,155,0,3.4,8,Yes,2,Nobel,53,Twitter
FirstYear,F,66,140,35,NA,15,Yes,3,Nobel,60,Instagram
Sophomore,M,74,156,12,3.23,14,Yes,7,Olympic,50,Snapchat
FirstYear,M,70,160,0,NA,14,No,10,Olympic,84,Twitter
FirstYear,M,72,160,30,NA,9,No,5,Nobel,78,Instagram
FirstYear,M,67,125,14,NA,7,No,15,Nobel,NA,Facebook
Sophomore,M,73,155,19,NA,8,No,4,Nobel,NA,Snapchat